City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,beckley,37.7782,-81.1882,4.34,74,0,0.45,US,1681199752
1,drawsko pomorskie,53.5306,15.8097,12.72,76,100,2.24,PL,1681199753
2,airai,-8.9266,125.4092,19.51,90,63,0.98,TL,1681199754
3,busselton,-33.65,115.3333,20.89,57,50,4.49,AU,1681199756
4,mataura,-46.1927,168.8643,11.38,97,83,1.15,NZ,1681199757
5,faanui,-16.4833,-151.75,27.48,75,100,4.33,PF,1681199758
6,dikson,73.5069,80.5464,-18.97,92,79,6.23,RU,1681199759
7,nikolskoye,59.7035,30.7861,10.94,63,97,0.2,RU,1681199760
8,castro,-24.7911,-50.0119,12.51,98,21,1.23,BR,1681199761
9,punta arenas,-53.15,-70.9167,6.06,70,0,4.63,CL,1681199689
10,port hedland,-20.3167,118.5667,35.03,36,84,5.66,AU,1681199715
11,atuona,-9.8,-139.0333,27.19,80,100,6.51,PF,1681199766
12,rikitea,-23.1203,-134.9692,24.81,70,100,4.4,PF,1681199767
13,baruun-urt,46.6806,113.2792,3.44,16,0,12.53,MN,1681199769
14,kaka,37.3482,59.6143,28.38,22,85,5.16,TM,1681199770
15,buraydah,26.326,43.975,25.25,31,25,7.27,SA,1681199771
16,zhigansk,66.7697,123.3711,-13.65,71,17,1.42,RU,1681199773
17,hobart,-42.8794,147.3294,14.57,91,75,2.57,AU,1681199774
18,jamestown,42.097,-79.2353,9.77,36,0,2.57,US,1681199597
19,puerto baquerizo moreno,-0.9,-89.6,26.28,75,45,0.93,EC,1681199611
20,mirzapur,25.15,82.5833,36.98,6,33,7.27,IN,1681199778
21,fenoarivo,-18.933,47.4354,24.04,60,20,1.54,MG,1681199779
22,deputatskiy,69.3,139.9,-18.03,91,6,0.78,RU,1681199781
23,puerto ayora,-0.7393,-90.3518,25.31,94,12,0.89,EC,1681199783
24,acapulco,16.8634,-99.8901,26.9,78,75,2.06,MX,1681199784
25,hilo,19.7297,-155.09,20.85,92,100,3.6,US,1681199785
26,palora,-1.7,-77.9333,17.39,98,80,1.01,EC,1681199787
27,hithadhoo,-0.6,73.0833,28.23,67,35,0.48,MV,1681199788
28,khapa,21.4333,78.9667,37.97,14,25,2.4,IN,1681199789
29,ushuaia,-54.8,-68.3,4.81,87,100,12.86,AR,1681199790
30,luderitz,-26.6481,15.1594,21.29,33,90,3.16,NA,1681199792
31,vila,42.0304,-8.1588,8.17,100,54,1.17,PT,1681199793
32,isangel,-19.55,169.2667,27.53,82,100,2.12,VU,1681199568
33,nipawin,53.3668,-104.0009,3.02,70,100,3.6,CA,1681199795
34,praia,14.9215,-23.5087,20.3,73,20,3.6,CV,1681199542
35,pratapgarh,24.0333,74.7833,36.82,12,67,4.57,IN,1681199798
36,mahebourg,-20.4081,57.7,29.03,83,75,3.09,MU,1681199799
37,tuktoyaktuk,69.4541,-133.0374,-13.22,94,100,5.75,CA,1681199800
38,miranda,3.2499,-76.2281,18.07,90,93,1.87,CO,1681199802
39,chokurdakh,70.6333,147.9167,-19.3,90,100,2.15,RU,1681199803
40,avarua,-21.2078,-159.775,23.03,78,2,1.03,CK,1681199804
41,ovre ardal,61.3167,7.8,5.49,90,100,3.15,NO,1681199805
42,abha,18.2164,42.5053,22.14,27,20,8.23,SA,1681199806
43,salalah,17.0151,54.0924,29.85,59,3,4.8,OM,1681199808
44,khatanga,71.9667,102.5,-16.68,77,100,5.87,RU,1681199810
45,kodiak,57.79,-152.4072,-2.27,64,0,1.54,US,1681199811
46,mount gambier,-37.8333,140.7667,15.94,54,94,3.03,AU,1681199812
47,kahului,20.8947,-156.47,23.8,85,40,5.66,US,1681199813
48,hit,33.6416,42.8251,28.09,32,99,4.42,IQ,1681199814
49,cidreira,-30.1811,-50.2056,21.16,90,0,3.11,BR,1681199815
50,yuzhno-kurilsk,44.0306,145.8556,5.51,85,73,2.64,RU,1681199816
51,tasiilaq,65.6145,-37.6368,0.64,99,100,2.54,GL,1681199817
52,rocha,-34.4833,-54.3333,14.99,96,5,2.61,UY,1681199818
53,warmbad,-28.45,18.7333,16.13,34,100,4.18,NA,1681199819
54,dale,38.1689,-86.99,9.84,71,0,0.0,US,1681199820
55,bluff,-46.6,168.3333,11.56,92,99,6.48,NZ,1681199821
56,east london,-33.0153,27.9116,18.52,45,0,10.8,ZA,1681199822
57,pontianak,-0.0333,109.3333,32.99,55,20,3.6,ID,1681199824
58,port alfred,-33.5906,26.891,18.99,53,39,4.92,ZA,1681199825
59,qaanaaq,77.484,-69.3632,-24.53,73,1,3.06,GL,1681199719
60,sola,-13.8833,167.55,28.08,74,89,2.43,VU,1681199827
61,olafsvik,64.8945,-23.7142,2.84,98,100,3.39,IS,1681199828
62,bredasdorp,-34.5322,20.0403,16.35,58,74,2.28,ZA,1681199829
63,hermanus,-34.4187,19.2345,16.56,61,99,1.5,ZA,1681199808
64,mar del plata,-38.0023,-57.5575,17.75,88,100,8.94,AR,1681199831
65,vaini,-21.2,-175.2,26.09,89,20,4.12,TO,1681199832
66,tiksi,71.6872,128.8694,-19.43,99,30,1.76,RU,1681199834
67,dicabisagan,17.0818,122.4157,26.22,72,98,3.89,PH,1681199835
68,kapaa,22.0752,-159.319,22.28,87,100,9.26,US,1681199836
69,coolum beach,-26.5333,153.1,23.39,59,0,1.28,AU,1681199837
70,albany,42.6001,-73.9662,8.1,58,96,1.34,US,1681199595
71,torbay,47.6666,-52.7314,2.16,69,0,9.26,CA,1681199839
72,saldanha,-33.0117,17.9442,12.03,67,100,4.75,ZA,1681199840
73,new norfolk,-42.7826,147.0587,14.38,72,99,1.27,AU,1681199841
74,casper,42.8666,-106.3131,8.33,49,0,8.23,US,1681199842
75,antofagasta,-23.65,-70.4,17.6,86,53,1.38,CL,1681199548
76,erdenet,49.0333,104.0833,7.32,16,7,5.36,MN,1681199847
77,botro,7.8525,-5.3106,24.71,71,97,2.58,CI,1681199733
78,sioux lookout,50.1001,-91.917,5.04,65,40,3.09,CA,1681199849
79,saint-georges,12.0564,-61.7485,25.01,81,84,6.06,GD,1681199851
80,buala,-8.145,159.5921,25.93,82,100,0.93,SB,1681199852
81,acajutla,13.5928,-89.8275,26.86,47,100,1.86,SV,1681199853
82,ikongo,-21.8833,47.4333,29.17,52,1,1.19,MG,1681199855
83,nakhon si thammarat,8.25,100.0,40.81,43,61,6.17,TH,1681199856
84,barrow,71.2906,-156.7887,-18.99,78,100,3.6,US,1681199857
85,manokwari,-0.8667,134.0833,27.35,81,100,2.3,ID,1681199858
86,saint-augustin,51.226,-58.6502,0.45,92,71,3.67,CA,1681199859
87,lebu,-37.6167,-73.65,14.51,96,80,2.06,CL,1681199861
88,bonfim,3.0833,-59.95,25.99,62,100,3.41,BR,1681199862
89,saint-pierre,-21.3393,55.4781,28.82,70,100,2.06,RE,1681199863
90,alofi,-19.0595,-169.9187,24.94,78,78,3.6,NU,1681199865
91,severo-kurilsk,50.6789,156.125,-0.79,81,96,13.89,RU,1681199866
92,tual,-5.6667,132.75,28.82,73,61,0.64,ID,1681199867
93,auki,-8.7676,160.7034,25.67,84,100,0.63,SB,1681199868
94,guerrero negro,27.9769,-114.0611,13.59,91,0,4.64,MX,1681199650
95,upernavik,72.7868,-56.1549,-17.79,97,100,5.84,GL,1681199870
96,westport,41.1415,-73.3579,10.97,87,0,0.0,US,1681199675
97,lagoa,39.05,-27.9833,15.45,89,100,10.38,PT,1681199872
98,iqaluit,63.7506,-68.5145,-14.15,92,100,0.0,CA,1681199873
99,kerrobert,51.9168,-109.1348,2.03,73,100,7.27,CA,1681199628
100,vardo,70.3705,31.1107,1.99,93,75,5.66,NO,1681199875
101,port hardy,50.6996,-127.4199,5.0,93,100,2.06,CA,1681199876
102,port-cartier,50.0334,-66.8654,3.82,100,100,1.86,CA,1681199877
103,zelenoborskiy,66.845,32.3622,1.27,99,100,2.7,RU,1681199878
104,yellowknife,62.456,-114.3525,-4.71,74,100,6.17,CA,1681199872
105,cabo san lucas,22.8909,-109.9124,23.06,35,77,0.89,MX,1681199880
106,williston,48.147,-103.618,12.4,73,100,3.55,US,1681199882
107,yeppoon,-23.1333,150.7333,28.88,56,0,1.56,AU,1681199883
108,poum,-20.2333,164.0167,26.59,80,93,4.64,NC,1681199884
109,chifeng,42.2683,118.9636,6.58,7,0,13.23,CN,1681199885
110,cape town,-33.9258,18.4232,18.4,60,75,2.24,ZA,1681199825
111,saint george,37.1041,-113.5841,17.33,34,0,1.54,US,1681199887
112,labuan,5.2767,115.2417,30.2,70,20,2.06,MY,1681199889
113,klaksvik,62.2266,-6.589,7.51,82,81,2.28,FO,1681199890
114,mahibadhoo,3.7833,72.9667,28.86,72,78,3.85,MV,1681199891
115,pavilosta,56.8879,21.1859,12.95,74,35,4.14,LV,1681199892
116,shadegan,30.6497,48.6647,27.97,16,99,7.55,IR,1681199894
117,ust-tsilma,65.441,52.1498,1.23,98,100,4.07,RU,1681199895
118,katsuura,35.1333,140.3,17.77,72,0,10.35,JP,1681199896
