City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,12.67,67,70,0.91,ZA,1681194167
1,vaini,-21.2,-175.2,26.09,89,20,4.12,TO,1681194168
2,busselton,-33.65,115.3333,21.34,57,90,6.14,AU,1681194169
3,cape town,-33.9258,18.4232,16.32,73,75,1.03,ZA,1681194170
4,esperance,-33.8667,121.9,20.2,63,58,8.38,AU,1681194171
5,kapaa,22.0752,-159.319,24.18,83,75,8.23,US,1681194173
6,luderitz,-26.6481,15.1594,16.2,43,41,3.26,NA,1681194174
7,coxim,-18.5067,-54.76,21.57,94,23,2.14,BR,1681194175
8,chuy,-33.6971,-53.4616,17.52,90,24,2.6,UY,1681194177
9,severo-kurilsk,50.6789,156.125,-0.62,86,87,15.54,RU,1681194178
10,namibe,-15.1961,12.1522,22.66,80,4,1.95,AO,1681194179
11,mangan,27.5167,88.5333,27.42,32,3,3.25,IN,1681194180
12,dikson,73.5069,80.5464,-20.7,94,88,5.83,RU,1681194181
13,tawau,4.2498,117.8871,30.07,64,100,1.71,MY,1681194183
14,nikolskoye,59.7035,30.7861,6.94,75,100,0.53,RU,1681194185
15,albany,42.6001,-73.9662,8.66,56,39,0.89,US,1681193977
16,adre,13.4667,22.2,29.29,13,100,3.7,TD,1681194187
17,bredasdorp,-34.5322,20.0403,13.88,73,59,1.7,ZA,1681194189
18,butaritari,3.0707,172.7902,27.28,80,85,4.72,KI,1681194190
19,ushuaia,-54.8,-68.3,4.81,87,0,13.89,AR,1681194192
20,rikitea,-23.1203,-134.9692,24.93,69,96,4.01,PF,1681194194
21,saulkrasti,57.2622,24.4147,11.55,83,8,3.19,LV,1681194196
22,puerto narino,-3.7703,-70.3831,22.24,98,97,0.37,CO,1681194198
23,honningsvag,70.9821,25.9704,3.86,87,100,3.6,NO,1681194199
24,sao joao da barra,-21.6403,-41.0511,20.96,83,15,2.75,BR,1681194045
25,mount pleasant,32.7941,-79.8626,13.99,84,0,2.57,US,1681194201
26,ponta do sol,32.6667,-17.1,19.35,49,6,2.48,PT,1681194203
27,saint-philippe,-21.3585,55.7679,27.77,73,100,3.22,RE,1681194204
28,broken hill,-31.95,141.4333,24.6,28,71,4.72,AU,1681194205
29,hualmay,-11.0964,-77.6139,23.82,82,74,3.59,PE,1681194207
30,rondonopolis,-16.4708,-54.6356,21.43,96,83,0.8,BR,1681194209
31,hilo,19.7297,-155.09,21.85,92,100,3.09,US,1681194192
32,cururupu,-1.8283,-44.8683,22.89,98,93,0.81,BR,1681193959
33,ormara,25.2088,64.6357,26.1,68,0,4.07,PK,1681194213
34,enshi,30.3,109.4833,26.06,50,100,1.16,CN,1681194214
35,atuona,-9.8,-139.0333,26.9,81,91,5.37,PF,1681194215
36,qaanaaq,77.484,-69.3632,-24.55,71,0,3.23,GL,1681194217
37,vostok,46.4856,135.8833,14.4,43,100,3.91,RU,1681194218
38,balkanabat,39.5108,54.3671,24.02,28,100,2.59,TM,1681194219
39,airai,-8.9266,125.4092,20.14,83,60,1.21,TL,1681194220
40,rangapara,26.8167,92.65,33.01,30,0,2.78,IN,1681194221
41,acapulco,16.8634,-99.8901,26.9,78,0,1.03,MX,1681194222
42,campo grande,-20.4428,-54.6464,21.75,88,0,3.6,BR,1681194170
43,hithadhoo,-0.6,73.0833,28.21,66,20,0.89,MV,1681194225
44,cidreira,-30.1811,-50.2056,21.81,88,11,4.39,BR,1681194226
45,kodinsk,58.6881,99.1844,4.17,80,100,6.18,RU,1681194227
46,mataura,-46.1927,168.8643,11.38,98,99,1.31,NZ,1681194228
47,barrow,71.2906,-156.7887,-18.99,78,100,5.14,US,1681194229
